scenario,year,emission_intensity_tCO2_per_t,production_Mt
NGFS_NetZero2050,2025,2025750.0000000005,40.0
NGFS_NetZero2050,2026,2025376.8844221106,39.8
NGFS_NetZero2050,2027,2025001.8938915688,39.601
NGFS_NetZero2050,2028,1723125.0949325047,39.402995
NGFS_NetZero2050,2029,1721231.251188447,39.205980025
NGFS_NetZero2050,2030,1719327.890641655,39.009950124875
NGFS_NetZero2050,2031,1327873.8394010728,38.81490037425063
NGFS_NetZero2050,2032,1281691.9079765484,38.62082587237937
NGFS_NetZero2050,2033,1249098.2505025007,38.42772174301747
NGFS_NetZero2050,2034,1238498.8196911153,38.23558313430239
NGFS_NetZero2050,2035,1191458.549687636,38.04440521863087
NGFS_NetZero2050,2036,1172255.499240704,37.85418319253772
NGFS_NetZero2050,2037,1152886.7815526137,37.66491227657503
NGFS_NetZero2050,2038,1141801.7704039095,37.47658771519215
NGFS_NetZero2050,2039,1045879.1018374474,37.2892047766162
NGFS_NetZero2050,2040,1010706.5151115649,37.10275875273312
NGFS_NetZero2050,2041,975154.0246302537,36.91724495896945
NGFS_NetZero2050,2042,939218.700439524,36.7326587341746
NGFS_NetZero2050,2043,910637.6255740692,36.54899544050372
NGFS_NetZero2050,2044,866187.7317208725,36.36625046330121
NGFS_NetZero2050,2045,829086.1275145946,36.1844192109847
NGFS_NetZero2050,2046,810125.3011129731,36.00349711492978
NGFS_NetZero2050,2047,753695.6286590087,35.82347962935513
NGFS_NetZero2050,2048,716458.5424268253,35.64436223120835
NGFS_NetZero2050,2049,706840.2308568122,35.46614042005231
NGFS_NetZero2050,2050,699839.4279967961,35.28880971795205
NGFS_Below2C,2025,2025750.0000000005,40.0
NGFS_Below2C,2026,2025376.8844221106,39.8
NGFS_Below2C,2027,2025001.8938915688,39.601
NGFS_Below2C,2028,2024625.0189865013,39.402995
NGFS_Below2C,2029,2024246.2502376898,39.205980025
NGFS_Below2C,2030,2023865.5781283313,39.009950124875
NGFS_Below2C,2031,2023482.9930938,38.81490037425063
NGFS_Below2C,2032,2023098.4855214076,38.62082587237937
NGFS_Below2C,2033,2022712.0457501581,38.42772174301747
NGFS_Below2C,2034,2022323.6640705108,38.23558313430239
NGFS_Below2C,2035,1631599.984344786,38.04440521863087
NGFS_Below2C,2036,1629246.2154218957,37.85418319253772
NGFS_Below2C,2037,1554321.4082676123,37.66491227657503
NGFS_Below2C,2038,1545253.6565496274,37.47658771519215
NGFS_Below2C,2039,1542465.9864820377,37.2892047766162
NGFS_Below2C,2040,1539664.3080221487,37.10275875273312
NGFS_Below2C,2041,1536848.5507760285,36.91724495896945
NGFS_Below2C,2042,1465139.4162348993,36.7326587341746
NGFS_Below2C,2043,1449913.733233032,36.54899544050372
NGFS_Below2C,2044,1446646.9680733995,36.36625046330121
NGFS_Below2C,2045,1443363.7870084415,36.1844192109847
NGFS_Below2C,2046,1440064.107546172,36.00349711492978
NGFS_Below2C,2047,1436747.8467800727,35.82347962935513
NGFS_Below2C,2048,1433414.9213870077,35.64436223120835
NGFS_Below2C,2049,1430065.2476251335,35.46614042005231
NGFS_Below2C,2050,1426698.7413317924,35.28880971795205
NGFS_NDCs,2025,2083500.0,40.0
NGFS_NDCs,2026,2091708.542713568,39.8
NGFS_NDCs,2027,2025001.8938915688,39.601
NGFS_NDCs,2028,2024625.0189865013,39.402995
NGFS_NDCs,2029,2024246.2502376898,39.205980025
NGFS_NDCs,2030,2023865.5781283313,39.009950124875
NGFS_NDCs,2031,2023482.9930938,38.81490037425063
NGFS_NDCs,2032,2023098.4855214076,38.62082587237937
NGFS_NDCs,2033,2022712.0457501581,38.42772174301747
NGFS_NDCs,2034,2022323.6640705108,38.23558313430239
NGFS_NDCs,2035,2021933.3307241313,38.04440521863087
NGFS_NDCs,2036,2021541.0359036494,37.85418319253772
NGFS_NDCs,2037,2021146.7697524114,37.66491227657503
NGFS_NDCs,2038,2020750.5223642327,37.47658771519215
NGFS_NDCs,2039,2020352.2837831485,37.2892047766162
NGFS_NDCs,2040,2019952.0440031646,37.10275875273312
NGFS_NDCs,2041,2019549.7929680042,36.91724495896945
NGFS_NDCs,2042,2019145.5205708584,36.7326587341746
NGFS_NDCs,2043,2018739.2166541293,36.54899544050372
NGFS_NDCs,2044,2018330.8710091752,36.36625046330121
NGFS_NDCs,2045,2017920.4733760555,36.1844192109847
NGFS_NDCs,2046,2017508.0134432716,36.00349711492978
NGFS_NDCs,2047,2017093.4808475093,35.82347962935513
NGFS_NDCs,2048,2016676.8651733764,35.64436223120835
NGFS_NDCs,2049,2016258.155953142,35.46614042005231
NGFS_NDCs,2050,2015837.3426664746,35.28880971795205
