year,production_BF-BOF_Mt,production_BF-BOF+CCUS_Mt,production_FINEX-BOF_Mt,production_Scrap-EAF_Mt,production_NG-DRI-EAF_Mt,production_H2-DRI-EAF_Mt,production_HyREX_Mt,total_production_Mt,scope1_emissions_MtCO2,carbon_price_USD_per_tCO2,free_allocation_MtCO2,ets_cost_USD,ets_cost_calculated_USD,ets_positive_MtCO2
2025,39.6,-0.0,-0.0,0.3999999999999986,-0.0,0.0,0.0,40.0,83.34,0,75.0,0.0,0.0,8.340000000000003
2026,38.0,-0.0,-0.0,1.8,-0.0,0.0,0.0,39.8,80.61,30,70.5,303300000.0000001,303300000.0,10.11
2027,37.801,-0.0,-0.0,1.8,-0.0,0.0,0.0,39.601,80.19210000000001,59,66.0,837333900.0000005,837333900.0000007,14.19210000000001
2028,37.602995,-0.0,-0.0,1.8,-0.0,0.0,0.0,39.402995,79.7762895,89,61.49999999999999,1626589765.5000007,1626589765.500001,18.27628950000001
2029,37.405980025000005,-0.0,-0.0,1.8,-0.0,0.0,0.0,39.205980025,79.36255805250002,103,57.0,2303343479.4075017,2303343479.407502,22.36255805250002
2030,37.209950124875,-0.0,-0.0,1.8,-0.0,0.0,0.0,39.009950124875,78.95089526223751,118,52.5,3121205640.944025,3121205640.944026,26.45089526223751
2031,37.01490037425063,-0.0,-0.0,1.8,-0.0,-0.0,0.0,38.81490037425063,78.54129078592632,119,51.00000000000001,3277413603.5252314,3277413603.5252314,27.541290785926314
2032,36.82082587237937,-0.0,-0.0,1.8,-0.0,-0.0,0.0,38.62082587237937,78.13373433199669,119,49.5,3407414385.507605,3407414385.507606,28.633734331996692
2033,36.627721743017474,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,38.42772174301747,77.7282156603367,120,48.0,3567385879.240404,3567385879.240404,29.7282156603367
2034,36.43558313430239,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,38.23558313430239,77.32472458203503,120,46.5,3698966949.844203,3698966949.844204,30.82472458203503
2035,36.244405218630874,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,38.04440521863087,76.92325095912484,121,45.0,3862713366.0541053,3862713366.054106,31.923250959124843
2036,36.05418319253772,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,37.85418319253772,76.52378470432922,122,43.5,4028901733.928164,4028901733.928164,33.023784704329216
2037,35.86491227657503,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,37.66491227657503,76.12631578080757,122,42.00000000000001,4163410525.2585235,4163410525.2585235,34.126315780807566
2038,35.676587715192156,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,37.47658771519215,75.73083420190353,123,40.5,4333392606.834134,4333392606.834135,35.230834201903534
2039,35.489204776616205,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,37.2892047766162,75.33733003089404,123,39.0,4469491593.799966,4469491593.799966,36.33733003089404
2040,35.302758752733126,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,37.10275875273312,74.94579338073957,124,37.5,4643278379.211706,4643278379.211706,37.44579338073957
2041,35.11724495896945,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,36.91724495896945,74.55621441383585,125,36.0,4819526801.729481,4819526801.729481,38.556214413835846
2042,34.9326587341746,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,36.7326587341746,74.16858334176666,125,34.5,4958572917.720833,4958572917.720833,39.66858334176666
2043,34.74899544050372,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,36.54899544050372,73.78289042505781,126,33.0,5138644193.557284,5138644193.557284,40.782890425057815
2044,34.566250463301216,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,36.36625046330121,73.39912597293257,126,31.5,5279289872.589502,5279289872.589504,41.899125972932566
2045,34.3844192109847,-0.0,0.0,1.8,-0.0,-0.0,-0.0,36.1844192109847,73.01728034306788,127,30.0,5463194603.56962,5463194603.569621,43.01728034306788
2046,34.20349711492978,-0.0,0.0,1.8,0.0,-0.0,-0.0,36.00349711492978,72.63734394135254,128,28.5,5649580024.493125,5649580024.493125,44.13734394135254
2047,34.02347962935513,-0.0,0.0,1.8,0.0,-0.0,-0.0,35.82347962935513,72.25930722164578,128,27.0,5793191324.370659,5793191324.370661,45.259307221645784
2048,33.84436223120835,-0.0,0.0,1.8,0.0,0.0,-0.0,35.64436223120835,71.88316068553755,129,25.500000000000004,5983427728.434341,5983427728.434343,46.38316068553755
2049,33.666140420052315,0.0,0.0,1.8,0.0,0.0,-0.0,35.46614042005231,71.50889488210987,129,24.0,6128647439.7921715,6128647439.792173,47.50889488210987
2050,33.48880971795205,0.0,0.0,1.8,0.0,0.0,0.0,35.28880971795205,71.13650040769932,130,22.5,6322745053.000909,6322745053.000911,48.636500407699316
